,ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Log_Discount_offered,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium,Cost_of_the_Product_std,Weight_in_gms_std
5497,5498,F,Ship,4,4,146,3,low,1,10,4472,1,2.302585092994046,0,0,0,0,1,0,0,1,0,1,0,-1.3316406739460394,0.5112887397210892
5498,5499,A,Ship,7,3,281,4,low,1,1,1215,1,0.0,1,0,0,0,0,0,0,1,0,1,0,1.4718942905427814,-1.4798194826564073
5499,5500,B,Ship,6,4,256,4,low,0,9,1676,0,2.1972245773362196,0,1,0,0,0,0,0,1,0,1,0,0.9527211489707775,-1.1979954450401882
5500,5501,C,Ship,6,4,304,4,low,1,7,1226,1,1.9459101490553132,0,0,1,0,0,0,0,1,0,1,0,1.9495335807890248,-1.473094830999621
5501,5502,F,Ship,6,2,285,4,medium,1,6,1016,1,1.791759469228055,0,0,0,0,1,0,0,1,0,0,1,1.554961993194302,-1.6014745444473566
5502,5503,D,Ship,7,2,283,5,low,0,10,1722,1,2.302585092994046,0,0,0,1,0,0,0,1,0,1,0,1.5134281418685416,-1.169874174475446
5503,5504,F,Ship,6,5,304,4,low,0,6,1864,1,1.791759469228055,0,0,0,0,1,0,0,1,0,1,0,1.9495335807890248,-1.083065034906025
5504,5505,A,Ship,6,2,282,4,medium,1,8,1553,0,2.0794415416798357,1,0,0,0,0,0,0,1,0,0,1,1.4926612162056616,-1.2731892772024331
5505,5506,B,Ship,6,3,304,5,medium,0,10,1254,1,2.302585092994046,0,1,0,0,0,0,0,1,0,0,1,1.9495335807890248,-1.4559775358732565
5506,5507,C,Ship,6,5,301,5,medium,0,7,1209,1,1.9459101490553132,0,0,1,0,0,0,0,1,0,0,1,1.8872328038003845,-1.4834874744691997
5507,5508,F,Ship,7,1,296,4,low,1,4,1446,0,1.3862943611198906,0,0,0,0,1,0,0,1,0,1,0,1.7833981754859836,-1.3386017978638982
5508,5509,D,Ship,6,5,264,4,low,0,4,1822,1,1.3862943611198906,0,0,0,1,0,0,0,1,0,1,0,1.1188565542738187,-1.108740977595572
5509,5510,F,Ship,6,4,304,4,low,1,6,1342,0,1.791759469228055,0,0,0,0,1,0,0,1,0,1,0,1.9495335807890248,-1.4021803226189673
5510,5511,A,Ship,6,2,305,4,low,1,8,1015,0,2.0794415416798357,1,0,0,0,0,0,0,1,0,1,0,1.970300506451905,-1.6020858764161552
5511,5512,B,Ship,6,2,309,4,low,1,7,1941,0,1.9459101490553132,0,1,0,0,0,0,0,1,0,1,0,2.0533682091034255,-1.035992473308522
5512,5513,C,Ship,6,5,266,4,medium,0,6,1312,1,1.791759469228055,0,0,1,0,0,0,0,1,0,0,1,1.160390405599579,-1.4205202816829294
5513,5514,F,Ship,4,1,233,4,low,1,2,1809,0,0.6931471805599453,0,0,0,0,1,0,0,1,0,1,0,0.475081858724534,-1.1166882931899555
5514,5515,D,Ship,5,3,287,4,low,1,2,1437,0,0.6931471805599453,0,0,0,1,0,0,0,1,0,1,0,1.5964958445200623,-1.344103785583087
5515,5516,F,Ship,6,5,268,4,low,1,10,1170,0,2.302585092994046,0,0,0,0,1,0,0,1,0,1,0,1.2019242569253394,-1.5073294212523505
5516,5517,A,Ship,6,2,290,4,medium,1,2,1070,1,0.6931471805599453,1,0,0,0,0,0,0,1,0,0,1,1.6587966215087027,-1.5684626181322245
5517,5518,B,Ship,7,4,291,4,high,1,4,1248,1,1.3862943611198906,0,1,0,0,0,0,0,1,1,0,0,1.6795635471715828,-1.459645527686049
5518,5519,C,Ship,5,3,227,5,medium,1,2,1965,0,0.6931471805599453,0,0,1,0,0,0,0,1,0,0,1,0.3504803047472531,-1.0213205060573523
5519,5520,F,Ship,3,5,222,2,low,1,9,1321,0,2.1972245773362196,0,0,0,0,1,0,0,1,0,1,0,0.24664567643285235,-1.4150182939637408
5520,5521,D,Ship,6,5,301,4,medium,0,2,1943,0,0.6931471805599453,0,0,0,1,0,0,0,1,0,0,1,1.8872328038003845,-1.0347698093709246
5521,5522,F,Ship,6,2,304,4,medium,0,10,1983,1,2.302585092994046,0,0,0,0,1,0,0,1,0,0,1,1.9495335807890248,-1.010316530618975
5522,5523,A,Ship,4,2,133,3,low,1,2,1212,1,0.6931471805599453,1,0,0,0,0,0,0,1,0,1,0,-1.6016107075634813,-1.4816534785628035
5523,5524,B,Ship,4,1,218,5,low,0,5,1238,0,1.6094379124341003,0,1,0,0,0,0,0,1,0,1,0,0.16357797378133174,-1.4657588473740362
5524,5525,C,Ship,5,5,304,5,low,0,8,1949,1,2.0794415416798357,0,0,1,0,0,0,0,1,0,1,0,1.9495335807890248,-1.0311018175581321
5525,5526,F,Ship,6,1,260,4,medium,1,9,1698,1,2.1972245773362196,0,0,0,0,1,0,0,1,0,0,1,1.0357888516222982,-1.1845461417266159
5526,5527,D,Ship,6,5,252,4,low,0,9,1460,0,2.1972245773362196,0,0,0,1,0,0,0,1,0,1,0,0.8696534463192569,-1.330043150300716
5527,5528,F,Ship,4,2,253,5,low,1,5,1812,0,1.6094379124341003,0,0,0,0,1,0,0,1,0,1,0,0.8904203719821371,-1.1148542972835593
5528,5529,A,Ship,6,4,248,4,low,0,6,1851,0,1.791759469228055,1,0,0,0,0,0,0,1,0,1,0,0.7865857436677364,-1.0910123505004086
5529,5530,B,Ship,5,3,237,5,medium,0,4,1733,1,1.3862943611198906,0,1,0,0,0,0,0,1,0,0,1,0.5581495613760546,-1.16314952281866
5530,5531,C,Ship,5,3,264,5,medium,0,5,1399,0,1.6094379124341003,0,0,1,0,0,0,0,1,0,0,1,1.1188565542738187,-1.367334400397439
5531,5532,F,Ship,6,1,308,4,medium,1,1,1216,1,0.0,0,0,0,0,1,0,0,1,0,0,1,2.0326012834405454,-1.4792081506876085
5532,5533,D,Ship,7,3,270,4,medium,0,10,1211,0,2.302585092994046,0,0,0,1,0,0,0,1,0,0,1,1.2434581082510996,-1.4822648105316023
5533,5534,F,Ship,6,3,269,4,medium,0,6,1822,1,1.791759469228055,0,0,0,0,1,0,0,1,0,0,1,1.2226911825882196,-1.108740977595572
5534,5535,A,Ship,6,1,271,4,low,0,9,1302,0,2.1972245773362196,1,0,0,0,0,0,0,1,0,1,0,1.2642250339139798,-1.4266336013709169
5535,5536,B,Ship,7,1,244,5,medium,0,3,1418,1,1.0986122886681098,0,1,0,0,0,0,0,1,0,0,1,0.7035180410162157,-1.355719092990263
5536,5537,C,Ship,6,2,245,4,low,0,8,1904,0,2.0794415416798357,0,0,1,0,0,0,0,1,0,1,0,0.7242849666790958,-1.0586117561540753
5537,5538,F,Ship,5,4,219,5,low,1,5,1388,1,1.6094379124341003,0,0,0,0,1,0,0,1,0,1,0,0.1843448994442119,-1.3740590520542253
5538,5539,D,Ship,6,2,257,4,low,0,4,1929,1,1.3862943611198906,0,0,0,1,0,0,0,1,0,1,0,0.9734880746336577,-1.0433284569341068
5539,5540,F,Ship,3,3,226,3,low,1,4,5048,0,1.3862943611198906,0,0,0,0,1,0,0,1,0,1,0,0.329713379084373,0.8634159537491636
5540,5541,A,Ship,4,4,200,2,low,1,5,5783,0,1.6094379124341003,1,0,0,0,0,0,0,1,0,1,0,-0.21022668815051102,1.3127449508162377
5541,5542,B,Ship,4,4,260,2,low,1,3,5801,0,1.0986122886681098,0,1,0,0,0,0,0,1,0,1,0,1.0357888516222982,1.323748926254615
5542,5543,C,Ship,3,4,142,2,medium,0,7,5346,0,1.9459101490553132,0,0,1,0,0,0,0,1,0,0,1,-1.4147083765975599,1.045592880451188
5543,5544,F,Ship,5,3,193,5,medium,1,3,5888,0,1.0986122886681098,0,0,0,0,1,0,0,1,0,0,1,-0.3555951677906721,1.3769348075401053
5544,5545,D,Ship,5,2,180,3,medium,1,1,4655,1,0.0,0,0,0,1,0,0,0,1,0,0,1,-0.6255652014081141,0.6231624900112587
5545,5546,F,Ship,4,3,232,3,medium,0,8,5298,1,2.0794415416798357,0,0,0,0,1,0,0,1,0,0,1,0.4543149330616539,1.0162489459488486
5546,5547,A,Ship,3,2,148,2,low,0,1,4133,1,0.0,1,0,0,0,0,0,0,1,0,1,0,-1.290106822620279,0.3040472022983164
5547,5548,B,Ship,5,3,205,4,low,1,9,4277,0,2.1972245773362196,0,1,0,0,0,0,0,1,0,1,0,-0.10639205983611025,0.39207900580533495
5548,5549,C,Ship,3,4,212,3,medium,0,3,4811,0,1.0986122886681098,0,0,1,0,0,0,0,1,0,0,1,0.038976419804050824,0.7185302771438622
5549,5550,F,Ship,3,4,168,2,medium,1,9,5235,1,2.1972245773362196,0,0,0,0,1,0,0,1,0,0,1,-0.8747683093626759,0.9777350319145279
5550,5551,D,Ship,3,5,145,2,low,0,2,4232,1,0.6931471805599453,0,0,0,1,0,0,0,1,0,1,0,-1.3524075996089193,0.36456906720939164
5551,5552,F,Ship,3,5,253,3,medium,1,9,5979,1,2.1972245773362196,0,0,0,0,1,0,0,1,0,0,1,0.8904203719821371,1.4325660167007905
5552,5553,A,Ship,3,5,143,2,low,0,6,4253,0,1.791759469228055,1,0,0,0,0,0,0,1,0,1,0,-1.3939414509346797,0.3774070385541652
5553,5554,B,Ship,4,2,267,5,low,1,9,4720,1,2.1972245773362196,0,1,0,0,0,0,0,1,0,1,0,1.1811573312624593,0.6628990679831768
5554,5555,C,Ship,6,1,123,5,medium,1,5,5323,1,1.6094379124341003,0,0,1,0,0,0,0,1,0,0,1,-1.8092799641922828,1.0315322451688171
5555,5556,F,Ship,5,1,106,5,medium,0,4,4180,0,1.3862943611198906,0,0,0,0,1,0,0,1,0,0,1,-2.1623177004612453,0.33277980483185715
5556,5557,D,Ship,2,2,249,3,low,0,3,4129,1,1.0986122886681098,0,0,0,1,0,0,0,1,0,1,0,0.8073526693306164,0.3016018744231214
5557,5558,F,Ship,5,1,178,2,low,0,5,4369,0,1.6094379124341003,0,0,0,0,1,0,0,1,0,1,0,-0.6670990527338744,0.448321546934819
5558,5559,A,Ship,4,3,148,4,low,0,1,4243,0,0.0,1,0,0,0,0,0,0,1,0,1,0,-1.290106822620279,0.3712937188661778
5559,5560,B,Ship,4,1,144,4,medium,1,6,5197,1,1.791759469228055,0,1,0,0,0,0,0,1,0,0,1,-1.3731745252717995,0.9545044171001759
5560,5561,C,Ship,3,1,249,2,low,0,2,5572,1,0.6931471805599453,0,0,1,0,0,0,0,1,0,1,0,0.8073526693306164,1.1837539053997035
5561,5562,F,Ship,5,5,128,3,low,1,9,5143,1,2.1972245773362196,0,0,0,0,1,0,0,1,0,1,0,-1.705445335877882,0.9214924907850439
5562,5563,D,Ship,4,4,228,4,high,1,1,5573,0,0.0,0,0,0,1,0,0,0,1,1,0,0,0.37124723041013324,1.184365237368502
5563,5564,F,Ship,3,4,242,2,low,0,10,5559,1,2.302585092994046,0,0,0,0,1,0,0,1,0,1,0,0.6619841896904554,1.1758065898053198
5564,5565,A,Ship,4,2,272,3,medium,0,1,4933,1,0.0,1,0,0,0,0,0,0,1,0,0,1,1.28499195957686,0.7931127773373084
5565,5566,B,Ship,4,1,173,2,medium,0,8,4893,0,2.0794415416798357,0,1,0,0,0,0,0,1,0,0,1,-0.7709336810482751,0.7686594985853589
5567,5568,F,Ship,4,2,245,2,low,1,3,4000,0,1.0986122886681098,0,0,0,0,1,0,0,1,0,1,0,0.7242849666790958,0.22274005044808393
5568,5569,D,Ship,4,1,211,3,high,1,5,5757,1,1.6094379124341003,0,0,0,1,0,0,0,1,1,0,0,0.018209494141170672,1.2968503196274703
5569,5570,F,Ship,2,1,214,3,high,1,1,4391,0,0.0,0,0,0,0,1,0,0,1,1,0,0,0.08051027112981113,0.4617708502483913
5570,5571,A,Ship,5,4,215,2,low,0,1,5669,0,0.0,1,0,0,0,0,0,0,1,0,1,0,0.10127719679269129,1.2430531063731811
5571,5572,B,Ship,3,1,248,2,medium,1,1,5703,0,0.0,0,1,0,0,0,0,0,1,0,0,1,0.7865857436677364,1.2638383933123383
5572,5573,C,Ship,3,1,225,3,medium,1,2,4284,0,0.6931471805599453,0,0,1,0,0,0,0,1,0,0,1,0.3089464534214928,0.39635832958692613
5573,5574,F,Ship,5,1,120,3,low,1,7,4381,1,1.9459101490553132,0,0,0,0,1,0,0,1,0,1,0,-1.8715807411809233,0.4556575305604039
5574,5575,D,Ship,5,2,243,3,low,0,8,4133,1,2.0794415416798357,0,0,0,1,0,0,0,1,0,1,0,0.6827511153533355,0.3040472022983164
5575,5576,F,Ship,3,4,214,2,low,1,10,4794,0,2.302585092994046,0,0,0,0,1,0,0,1,0,1,0,0.08051027112981113,0.7081376336742836
5576,5577,A,Ship,3,1,144,3,low,0,8,5221,1,2.0794415416798357,1,0,0,0,0,0,0,1,0,1,0,-1.3731745252717995,0.9691763843513456
5578,5579,C,Ship,4,5,160,5,medium,0,3,4648,1,1.0986122886681098,0,0,1,0,0,0,0,1,0,0,1,-1.0409037146657172,0.6188831662296675
5579,5580,F,Ship,5,5,139,4,medium,0,3,4433,1,1.0986122886681098,0,0,0,0,1,0,0,1,0,0,1,-1.4770091535862002,0.4874467929379384
5580,5581,D,Ship,3,1,221,4,medium,0,8,5971,0,2.0794415416798357,0,0,0,1,0,0,0,1,0,0,1,0.2258787507699722,1.4276753609504007
5581,5582,F,Ship,5,5,266,2,medium,1,7,5712,1,1.9459101490553132,0,0,0,0,1,0,0,1,0,0,1,1.160390405599579,1.269340381031527
5582,5583,A,Ship,5,4,140,4,low,0,10,4528,0,2.302585092994046,1,0,0,0,0,0,0,1,0,1,0,-1.4562422279233203,0.5455233299738187
5583,5584,B,Ship,4,4,134,2,low,1,1,5209,1,0.0,0,1,0,0,0,0,0,1,0,1,0,-1.5808437819006012,0.9618404007257607
5584,5585,C,Ship,3,3,260,2,low,1,7,5738,0,1.9459101490553132,0,0,1,0,0,0,0,1,0,1,0,1.0357888516222982,1.2852350122202942
5586,5587,D,Ship,5,2,274,4,medium,0,7,4929,0,1.9459101490553132,0,0,0,1,0,0,0,1,0,0,1,1.3265258109026203,0.7906674494621135
5587,5588,F,Ship,4,5,263,3,medium,1,3,4020,0,1.0986122886681098,0,0,0,0,1,0,0,1,0,0,1,1.0980896286109385,0.23496668982405874
5588,5589,A,Ship,4,4,189,4,medium,0,9,5838,1,2.1972245773362196,1,0,0,0,0,0,0,1,0,0,1,-0.4386628704421927,1.3463682091001683
5589,5590,B,Ship,4,5,257,2,low,1,3,5394,0,1.0986122886681098,0,1,0,0,0,0,0,1,0,1,0,0.9734880746336577,1.0749368149535277
5590,5591,C,Road,5,5,195,4,medium,1,1,4482,0,0.0,0,0,1,0,0,0,1,0,0,0,1,-0.31406131646491176,0.5174020594090767
5591,5592,F,Road,2,3,201,3,medium,1,5,5733,1,1.6094379124341003,0,0,0,0,1,0,1,0,0,0,1,-0.18945976248763086,1.2821783523763006
5592,5593,D,Road,4,4,264,4,medium,1,9,5186,0,2.1972245773362196,0,0,0,1,0,0,1,0,0,0,1,1.1188565542738187,0.9477797654433897
5593,5594,F,Road,3,2,180,2,high,1,10,4024,0,2.302585092994046,0,0,0,0,1,0,1,0,1,0,0,-0.6255652014081141,0.2374120176992537
5594,5595,A,Road,3,1,220,3,low,0,6,5572,1,1.791759469228055,1,0,0,0,0,0,1,0,0,1,0,0.20511182510709206,1.1837539053997035
5595,5596,B,Road,5,1,113,3,medium,0,6,5509,1,1.791759469228055,0,1,0,0,0,0,1,0,0,0,1,-2.0169492208210844,1.1452399913653828
5596,5597,C,Road,4,2,168,2,high,0,9,5684,0,2.1972245773362196,0,0,1,0,0,0,1,0,1,0,0,-0.8747683093626759,1.2522230859051622
5597,5598,F,Road,5,2,251,3,low,1,9,4298,1,2.1972245773362196,0,0,0,0,1,0,1,0,0,1,0,0.8488865206563768,0.4049169771501085
5598,5599,D,Road,4,2,245,3,medium,0,2,4835,1,0.6931471805599453,0,0,0,1,0,0,1,0,0,0,1,0.7242849666790958,0.7332022443950319
5599,5600,F,Road,4,4,164,4,medium,0,1,4365,1,0.0,0,0,0,0,1,0,1,0,0,0,1,-0.9578360120141965,0.4458762190596241
5600,5601,A,Road,3,1,232,2,medium,1,4,5806,1,1.3862943611198906,1,0,0,0,0,0,1,0,0,0,1,0.4543149330616539,1.3268055860986085
5601,5602,B,Road,4,3,138,3,high,1,2,5358,0,0.6931471805599453,0,1,0,0,0,0,1,0,1,0,0,-1.4977760792490804,1.052928864076773
5602,5603,C,Road,4,2,233,3,low,0,3,5740,1,1.0986122886681098,0,0,1,0,0,0,1,0,0,1,0,0.475081858724534,1.2864576761578916
5603,5604,F,Road,4,4,150,2,medium,0,1,4711,1,0.0,0,0,0,0,1,0,1,0,0,0,1,-1.2485729712945186,0.6573970802639881
5604,5605,D,Road,3,5,253,2,medium,1,7,5846,0,1.9459101490553132,0,0,0,1,0,0,1,0,0,0,1,0.8904203719821371,1.3512588648505581
5605,5606,F,Road,4,4,179,3,medium,1,5,4061,1,1.6094379124341003,0,0,0,0,1,0,1,0,0,0,1,-0.6463321270709942,0.2600313005448071
5606,5607,A,Road,5,2,135,2,medium,1,4,5405,0,1.3862943611198906,1,0,0,0,0,0,1,0,0,0,1,-1.560076856237721,1.0816614666103137
5607,5608,B,Road,3,1,166,2,medium,0,9,5853,1,2.1972245773362196,0,1,0,0,0,0,1,0,0,0,1,-0.9163021606884362,1.3555381886321494
5608,5609,C,Road,3,4,196,2,medium,0,5,4342,1,1.6094379124341003,0,0,1,0,0,0,1,0,0,0,1,-0.2932943908020316,0.43181558377725304
5609,5610,F,Road,4,4,238,2,low,0,4,4337,1,1.3862943611198906,0,0,0,0,1,0,1,0,0,1,0,0.5789164870389348,0.4287589239332594
5611,5612,F,Road,3,5,226,2,medium,1,3,4208,1,1.0986122886681098,0,0,0,0,1,0,1,0,0,0,1,0.329713379084373,0.3498970999582219
5612,5613,A,Flight,5,1,182,5,high,0,6,5398,0,1.791759469228055,1,0,0,0,0,1,0,0,1,0,0,-0.5840313500823537,1.0773821428287227
5613,5614,B,Flight,5,5,173,3,low,1,4,5265,1,1.3862943611198906,0,1,0,0,0,1,0,0,0,1,0,-0.7709336810482751,0.9960749909784902
5614,5615,C,Flight,3,2,257,5,low,1,5,4130,1,1.6094379124341003,0,0,1,0,0,1,0,0,0,1,0,0.9734880746336577,0.3022132063919202
5615,5616,F,Flight,2,3,223,3,low,0,9,5653,0,2.1972245773362196,0,0,0,0,1,1,0,0,0,1,0,0.2674126020957325,1.2332717948724012
5616,5617,D,Flight,4,2,194,3,low,0,3,5174,0,1.0986122886681098,0,0,0,1,0,1,0,0,0,1,0,-0.33482824212779194,0.9404437818178049
5617,5618,F,Flight,5,4,281,3,low,0,10,5675,0,2.302585092994046,0,0,0,0,1,1,0,0,0,1,0,1.4718942905427814,1.2467210981859735
5618,5619,A,Flight,5,4,236,3,medium,0,1,5711,0,0.0,1,0,0,0,0,1,0,0,0,0,1,0.5373826357131745,1.2687290490627283
5619,5620,B,Flight,3,5,165,4,low,1,6,4795,1,1.791759469228055,0,1,0,0,0,1,0,0,0,1,0,-0.9370690863513164,0.7087489656430823
5620,5621,C,Flight,4,2,200,2,low,0,8,4222,0,2.0794415416798357,0,0,1,0,0,1,0,0,0,1,0,-0.21022668815051102,0.35845574752140424
5621,5622,F,Flight,3,3,168,4,low,0,2,4541,1,0.6931471805599453,0,0,0,0,1,1,0,0,0,1,0,-0.8747683093626759,0.5534706455682024
5623,5624,F,Flight,2,1,226,2,medium,0,1,5576,0,0.0,0,0,0,0,1,1,0,0,0,0,1,0.329713379084373,1.1861992332748983
5624,5625,A,Flight,5,3,143,2,medium,1,5,5612,1,1.6094379124341003,1,0,0,0,0,1,0,0,0,0,1,-1.3939414509346797,1.208207184151653
5625,5626,B,Flight,4,2,116,3,low,0,2,5602,1,0.6931471805599453,0,1,0,0,0,1,0,0,0,1,0,-1.9546484438324438,1.2020938644636656
5626,5627,C,Flight,4,4,139,2,high,0,9,4446,1,2.1972245773362196,0,0,1,0,0,1,0,0,1,0,0,-1.4770091535862002,0.495394108532322
5627,5628,F,Flight,4,3,248,2,medium,0,2,4700,0,0.6931471805599453,0,0,0,0,1,1,0,0,0,0,1,0.7865857436677364,0.650672428607202
5628,5629,D,Flight,5,4,135,2,low,1,5,5834,0,1.6094379124341003,0,0,0,1,0,1,0,0,0,1,0,-1.560076856237721,1.3439228812249733
5629,5630,F,Flight,4,4,265,2,medium,0,9,4106,0,2.1972245773362196,0,0,0,0,1,1,0,0,0,0,1,1.1396234799366989,0.2875412391407504
5631,5632,B,Flight,6,2,256,3,medium,1,1,4435,1,0.0,0,1,0,0,0,1,0,0,0,0,1,0.9527211489707775,0.48866945687553587
5632,5633,C,Flight,5,4,217,2,medium,0,3,5925,0,1.0986122886681098,0,0,1,0,0,1,0,0,0,0,1,0.14281104811845158,1.3995540903856587
5633,5634,F,Flight,4,4,203,3,medium,1,8,4443,0,2.0794415416798357,0,0,0,0,1,1,0,0,0,0,1,-0.14792591116187054,0.4935601126259258
5634,5635,D,Ship,3,4,145,2,high,0,5,5513,0,1.6094379124341003,0,0,0,1,0,0,0,1,1,0,0,-1.3524075996089193,1.1476853192405778
5635,5636,F,Ship,3,2,268,3,low,1,9,4215,0,2.1972245773362196,0,0,0,0,1,0,0,1,0,1,0,1.2019242569253394,0.35417642373981306
5636,5637,A,Ship,4,5,206,2,medium,0,10,4437,0,2.302585092994046,1,0,0,0,0,0,0,1,0,0,1,-0.08562513417323009,0.4898921208131334
5637,5638,B,Ship,3,2,215,3,medium,0,10,4198,1,2.302585092994046,0,1,0,0,0,0,0,1,0,0,1,0.10127719679269129,0.3437837802702345
5638,5639,C,Ship,4,1,177,3,medium,0,5,4382,0,1.6094379124341003,0,0,1,0,0,0,0,1,0,0,1,-0.6878659783967546,0.4562688625292027
5639,5640,F,Ship,3,3,183,3,low,0,3,5538,0,1.0986122886681098,0,0,0,0,1,0,0,1,0,1,0,-0.5632644244194736,1.1629686184605463
5640,5641,D,Ship,4,2,227,5,medium,1,6,4618,0,1.791759469228055,0,0,0,1,0,0,0,1,0,0,1,0.3504803047472531,0.6005432071657053
5641,5642,F,Ship,4,1,209,4,medium,0,1,5057,0,0.0,0,0,0,0,1,0,0,1,0,0,1,-0.023324357184589636,0.8689179414683522
5642,5643,A,Ship,4,4,193,3,low,1,5,5090,1,1.6094379124341003,1,0,0,0,0,0,0,1,0,1,0,-0.3555951677906721,0.8890918964387107
5643,5644,B,Ship,4,4,144,2,low,1,5,4380,1,1.6094379124341003,0,1,0,0,0,0,0,1,0,1,0,-1.3731745252717995,0.45504619859160517
5644,5645,C,Ship,4,2,192,3,low,0,3,4130,1,1.0986122886681098,0,0,1,0,0,0,0,1,0,1,0,-0.3763620934535522,0.3022132063919202
5645,5646,F,Ship,2,3,247,4,low,1,5,5725,0,1.6094379124341003,0,0,0,0,1,0,0,1,0,1,0,0.7658188180048562,1.2772876966259106
5646,5647,D,Ship,3,4,199,4,medium,0,6,5207,0,1.791759469228055,0,0,0,1,0,0,0,1,0,0,1,-0.23099361381339117,0.9606177367881632
5647,5648,F,Ship,6,5,273,5,medium,1,10,5756,1,2.302585092994046,0,0,0,0,1,0,0,1,0,0,1,1.3057588852397402,1.2962389876586715
5648,5649,A,Ship,3,3,232,4,low,0,4,4662,1,1.3862943611198906,1,0,0,0,0,0,0,1,0,1,0,0.4543149330616539,0.6274418137928499
5649,5650,B,Ship,3,5,214,3,low,0,6,5319,0,1.791759469228055,0,1,0,0,0,0,0,1,0,1,0,0.08051027112981113,1.0290869172936221
5650,5651,C,Ship,5,1,156,2,low,1,10,5086,0,2.302585092994046,0,0,1,0,0,0,0,1,0,1,0,-1.1239714173172377,0.8866465685635156
5651,5652,F,Ship,4,3,200,3,medium,1,5,5108,0,1.6094379124341003,0,0,0,0,1,0,0,1,0,0,1,-0.21022668815051102,0.900095871877088
5652,5653,D,Ship,3,5,196,3,medium,0,9,4741,1,2.1972245773362196,0,0,0,1,0,0,0,1,0,0,1,-0.2932943908020316,0.6757370393279504
5653,5654,F,Ship,5,3,189,3,medium,0,7,5830,1,1.9459101490553132,0,0,0,0,1,0,0,1,0,0,1,-0.4386628704421927,1.3414775533497783
5654,5655,A,Ship,5,2,266,2,low,1,3,4030,0,1.0986122886681098,1,0,0,0,0,0,0,1,0,1,0,1.160390405599579,0.24108000951204614
5655,5656,B,Ship,4,4,198,2,medium,1,2,5725,1,0.6931471805599453,0,1,0,0,0,0,0,1,0,0,1,-0.2517605394762713,1.2772876966259106
5656,5657,C,Ship,4,5,144,2,low,1,2,4978,0,0.6931471805599453,0,0,1,0,0,0,0,1,0,1,0,-1.3731745252717995,0.8206227159332518
5657,5658,F,Ship,4,4,217,5,medium,1,6,5891,1,1.791759469228055,0,0,0,0,1,0,0,1,0,0,1,0.14281104811845158,1.3787688034465015
5658,5659,D,Ship,5,1,169,4,medium,1,4,4541,0,1.3862943611198906,0,0,0,1,0,0,0,1,0,0,1,-0.8540013836997957,0.5534706455682024
5659,5660,F,Ship,3,1,153,4,medium,0,1,4608,0,0.0,0,0,0,0,1,0,0,1,0,0,1,-1.1862721943058783,0.594429887477718
5660,5661,A,Ship,4,4,152,2,medium,0,5,5324,0,1.6094379124341003,1,0,0,0,0,0,0,1,0,0,1,-1.2070391199687582,1.032143577137616
5661,5662,B,Ship,5,5,245,5,medium,0,4,4627,0,1.3862943611198906,0,1,0,0,0,0,0,1,0,0,1,0.7242849666790958,0.606045194884894
5662,5663,C,Ship,4,2,237,3,low,1,2,5277,0,0.6931471805599453,0,0,1,0,0,0,0,1,0,1,0,0.5581495613760546,1.0034109746040751
5663,5664,F,Ship,4,2,266,2,low,0,8,5516,0,2.0794415416798357,0,0,0,0,1,0,0,1,0,1,0,1.160390405599579,1.149519315146974
5664,5665,D,Ship,4,5,216,4,medium,0,1,4458,1,0.0,0,0,0,1,0,0,0,1,0,0,1,0.12204412245557143,0.5027300921579069
5665,5666,F,Ship,3,4,186,3,medium,0,4,5501,1,1.3862943611198906,0,0,0,0,1,0,0,1,0,0,1,-0.5009636474308331,1.1403493356149927
5666,5667,A,Ship,5,3,280,4,medium,0,4,5192,0,1.3862943611198906,1,0,0,0,0,0,0,1,0,0,1,1.4511273648799012,0.9514477572561821
5667,5668,B,Ship,4,5,229,2,medium,0,1,4869,0,0.0,0,1,0,0,0,0,0,1,0,0,1,0.39201415607301343,0.753987531334189
5668,5669,C,Ship,3,2,225,3,low,1,3,5529,0,1.0986122886681098,0,0,1,0,0,0,0,1,0,1,0,0.3089464534214928,1.1574666307413575
5669,5670,F,Ship,3,5,149,3,low,0,7,4357,0,1.9459101490553132,0,0,0,0,1,0,0,1,0,1,0,-1.2693398969573988,0.44098556330923416
5670,5671,D,Ship,5,5,200,3,low,1,6,4401,1,1.791759469228055,0,0,0,1,0,0,0,1,0,1,0,-0.21022668815051102,0.4678841699363787
5671,5672,F,Ship,4,2,246,3,low,0,1,5815,1,0.0,0,0,0,0,1,0,0,1,0,1,0,0.745051892341976,1.3323075738177972
5672,5673,A,Ship,3,4,150,2,low,1,1,4742,0,0.0,1,0,0,0,0,0,0,1,0,1,0,-1.2485729712945186,0.6763483712967491
5673,5674,B,Ship,3,1,175,3,medium,0,9,5797,0,2.1972245773362196,0,1,0,0,0,0,0,1,0,0,1,-0.7293998297225148,1.32130359837942
5674,5675,C,Ship,3,5,141,3,medium,1,10,5775,0,2.302585092994046,0,0,1,0,0,0,0,1,0,0,1,-1.43547530226044,1.3078542950658476
